date,price
2024-01-01,14026.5
2024-01-02,14090.0
2024-01-03,14138.833333333334
2024-01-04,14159.666666666666
2024-01-05,14028.833333333334
2024-01-06,14091.833333333334
2024-01-07,14298.166666666666
2024-01-08,14091.833333333334
2024-01-09,14102.166666666666
2024-01-10,14131.666666666666
2024-01-11,14129.833333333334
2024-01-12,14121.166666666666
2024-01-13,13916.166666666666
2024-01-14,14124.5
2024-01-15,14124.666666666666
2024-01-16,14022.166666666666
2024-01-17,14190.0
2024-01-18,14190.0
2024-01-19,14001.333333333334
2024-01-20,14291.666666666666
2024-01-21,14186.166666666666
2024-01-22,14167.666666666666
2024-01-23,14167.166666666666
2024-01-24,14143.333333333334
2024-01-25,14166.5
2024-01-26,14271.5
2024-01-27,14309.666666666666
2024-01-28,14119.833333333334
2024-01-29,14249.0
2024-01-30,14364.666666666666
2024-01-31,14416.0
2024-02-01,14575.166666666666
2024-02-02,14572.666666666666
2024-02-03,14609.333333333334
2024-02-04,14910.5
2024-02-05,14664.833333333334
2024-02-06,14534.0
2024-02-07,14478.0
2024-02-08,14756.0
2024-02-09,14710.0
2024-02-10,14704.666666666666
2024-02-11,14710.833333333334
2024-02-12,14958.166666666666
2024-02-13,14761.166666666666
2024-02-14,14452.833333333334
2024-02-15,15086.833333333334
2024-02-16,14943.5
2024-02-17,15302.166666666666
2024-02-18,15262.5
2024-02-19,15379.166666666666
2024-02-20,15529.333333333334
2024-02-21,15604.833333333334
2024-02-22,15476.5
2024-02-23,15586.333333333334
2024-02-24,15691.0
2024-02-25,15284.833333333334
2024-02-26,15358.0
2024-02-27,15666.833333333334
2024-02-28,15670.5
2024-02-29,15504.666666666666
2024-03-01,15538.5
2024-03-02,15851.0
2024-03-03,15564.833333333334
2024-03-04,15902.666666666666
2024-03-05,15782.666666666666
2024-03-06,15799.333333333334
2024-03-07,15832.666666666666
2024-03-08,15741.5
2024-03-09,15543.833333333334
2024-03-10,15622.166666666666
2024-03-11,15508.666666666666
2024-03-12,15872.166666666666
2024-03-13,15589.0
2024-03-14,15506.166666666666
2024-03-15,15482.666666666666
2024-03-16,15516.333333333334
2024-03-17,15714.833333333334
2024-03-18,15576.0
2024-03-19,15642.166666666666
2024-03-20,15561.5
2024-03-21,15732.666666666666
2024-03-22,15555.0
2024-03-23,15640.666666666666
2024-03-24,15568.833333333334
2024-03-25,15542.666666666666
2024-03-26,15668.166666666666
2024-03-27,15627.0
2024-03-28,15885.5
2024-03-29,15752.333333333334
2024-03-30,15311.166666666666
2024-03-31,15544.833333333334
2024-04-01,15666.5
2024-04-02,15526.0
2024-04-03,16146.666666666666
2024-04-04,15509.5
2024-04-05,15526.0
2024-04-06,15526.0
2024-04-07,15526.0
2024-04-08,15651.5
2024-04-09,15620.125
2024-04-10,15588.75
2024-04-11,15557.375
2024-04-12,15526.0
2024-04-13,15526.0
2024-04-14,15526.0
2024-04-15,15526.0
